# step, temp, etotal, ke, tpot, evdw, ebond
0 0.008142857142857144 11447404.232744368 0.012214285714285717 11447404.220530082 0.0 11447404.220530082
10 23518654130.763447 35277981196.14517 35277981196.14517 -5.791096716148393e-28 0.0 -5.791096716148393e-28
20 23518654130.763447 35277981196.14517 35277981196.14517 -6.541690819413967e-30 0.0 -6.541690819413967e-30
30 23518654130.763447 35277981196.14517 35277981196.14517 -5.173951007470408e-31 0.0 -5.173951007470408e-31
40 23518654130.763447 35277981196.14517 35277981196.14517 -8.746252558585819e-32 0.0 -8.746252558585819e-32
50 23518654130.763447 35277981196.14517 35277981196.14517 -2.2234777875622052e-32 0.0 -2.2234777875622052e-32
60 23518654130.763447 35277981196.14517 35277981196.14517 -7.296203758451569e-33 0.0 -7.296203758451569e-33
70 23518654130.763447 35277981196.14517 35277981196.14517 -2.8517687166838886e-33 0.0 -2.8517687166838886e-33
80 23518654130.763447 35277981196.14517 35277981196.14517 -1.2660363168110796e-33 0.0 -1.2660363168110796e-33
90 23518654130.763447 35277981196.14517 35277981196.14517 -6.192536401627802e-34 0.0 -6.192536401627802e-34
100 23518654130.763447 35277981196.14517 35277981196.14517 -3.268867805657399e-34 0.0 -3.268867805657399e-34
110 23518654130.763447 35277981196.14517 35277981196.14517 -1.8350566268264284e-34 0.0 -1.8350566268264284e-34
120 23518654130.763447 35277981196.14517 35277981196.14517 -1.0837438191444276e-34 0.0 -1.0837438191444276e-34
130 23518654130.763447 35277981196.14517 35277981196.14517 -6.678364099317458e-35 0.0 -6.678364099317458e-35
140 23518654130.763447 35277981196.14517 35277981196.14517 -4.2669692435523994e-35 0.0 -4.2669692435523994e-35
150 23518654130.763447 35277981196.14517 35277981196.14517 -2.8124879369099663e-35 0.0 -2.8124879369099663e-35
160 23518654130.763447 35277981196.14517 35277981196.14517 -1.9046952652970497e-35 0.0 -1.9046952652970497e-35
170 23518654130.763447 35277981196.14517 35277981196.14517 -1.3209549096977332e-35 0.0 -1.3209549096977332e-35
180 23518654130.763447 35277981196.14517 35277981196.14517 -9.355995648361504e-36 0.0 -9.355995648361504e-36
190 23518654130.763447 35277981196.14517 35277981196.14517 -6.752076443050746e-36 0.0 -6.752076443050746e-36
200 23518654130.763447 35277981196.14517 35277981196.14517 -4.955525299749999e-36 0.0 -4.955525299749999e-36
210 23518654130.763447 35277981196.14517 35277981196.14517 -3.692584326932139e-36 0.0 -3.692584326932139e-36
220 23518654130.763447 35277981196.14517 35277981196.14517 -2.7896096309044745e-36 0.0 -2.7896096309044745e-36
230 23518654130.763447 35277981196.14517 35277981196.14517 -2.1340039267648706e-36 0.0 -2.1340039267648706e-36
240 23518654130.763447 35277981196.14517 35277981196.14517 -1.6512798800455544e-36 0.0 -1.6512798800455544e-36
250 23518654130.763447 35277981196.14517 35277981196.14517 -1.2912549523387823e-36 0.0 -1.2912549523387823e-36
260 23518654130.763447 35277981196.14517 35277981196.14517 -1.0195522490129718e-36 0.0 -1.0195522490129718e-36
270 23518654130.763447 35277981196.14517 35277981196.14517 -8.122587173877587e-37 0.0 -8.122587173877587e-37
280 23518654130.763447 35277981196.14517 35277981196.14517 -6.525034791721418e-37 0.0 -6.525034791721418e-37
290 23518654130.763447 35277981196.14517 35277981196.14517 -5.282274739073698e-37 0.0 -5.282274739073698e-37
300 23518654130.763447 35277981196.14517 35277981196.14517 -4.307059822949803e-37 0.0 -4.307059822949803e-37
310 23518654130.763447 35277981196.14517 35277981196.14517 -3.5355513515342684e-37 0.0 -3.5355513515342684e-37
320 23518654130.763447 35277981196.14517 35277981196.14517 -2.920545121158063e-37 0.0 -2.920545121158063e-37
330 23518654130.763447 35277981196.14517 35277981196.14517 -2.4267923877540914e-37 0.0 -2.4267923877540914e-37
340 23518654130.763447 35277981196.14517 35277981196.14517 -2.027728549882892e-37 0.0 -2.027728549882892e-37
350 23518654130.763447 35277981196.14517 35277981196.14517 -1.7031599547274422e-37 0.0 -1.7031599547274422e-37
360 23518654130.763447 35277981196.14517 35277981196.14517 -1.437610717293229e-37 0.0 -1.437610717293229e-37
370 23518654130.763447 35277981196.14517 35277981196.14517 -1.2191293610362485e-37 0.0 -1.2191293610362485e-37
380 23518654130.763447 35277981196.14517 35277981196.14517 -1.0384192316481267e-37 0.0 -1.0384192316481267e-37
390 23518654130.763447 35277981196.14517 35277981196.14517 -8.881991835698652e-38 0.0 -8.881991835698652e-38
400 23518654130.763447 35277981196.14517 35277981196.14517 -7.627295964375897e-38 0.0 -7.627295964375897e-38
410 23518654130.763447 35277981196.14517 35277981196.14517 -6.574581606636787e-38 0.0 -6.574581606636787e-38
420 23518654130.763447 35277981196.14517 35277981196.14517 -5.687531649538638e-38 0.0 -5.687531649538638e-38
430 23518654130.763447 35277981196.14517 35277981196.14517 -4.9370122752907e-38 0.0 -4.9370122752907e-38
440 23518654130.763447 35277981196.14517 35277981196.14517 -4.2995285273330436e-38 0.0 -4.2995285273330436e-38
450 23518654130.763447 35277981196.14517 35277981196.14517 -3.756037387537917e-38 0.0 -3.756037387537917e-38
460 23518654130.763447 35277981196.14517 35277981196.14517 -3.291029959360522e-38 0.0 -3.291029959360522e-38
470 23518654130.763447 35277981196.14517 35277981196.14517 -2.8918175522174104e-38 0.0 -2.8918175522174104e-38
